  TimeWindow  Iteration  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)
    67      20   9.99467283e-01   9.99467283e-01   3.01081402e-11              inf              inf   2.39711357e-06
    67      21   7.66923192e-01   7.66923192e-01   4.54084965e-12              inf              inf   1.76973391e-06
    67      22              inf              inf   3.31573585e-12              inf              inf   8.66929478e-07
    67      23   6.76187432e-01   6.76187432e-01   1.17501891e-12              inf              inf   1.53756041e-06
    67      24   6.51986438e-01   6.51986438e-01   3.66384345e-12              inf              inf   1.47696480e-06
    67      25   6.53793332e-01   6.53793332e-01   3.99924803e-12              inf              inf   1.48133054e-06
    68       1   5.00000000e-01   5.00000000e-01   1.15875236e-06              inf              inf   2.26605968e-06
    68       2   5.73862285e+00   6.22526592e+00   1.24090257e-07   1.00000000e+00   1.00000000e+00   1.42618855e-04
    68       3   5.79045773e+00   6.25925405e+00   1.30807716e-07   9.99999998e-01   9.99999998e-01   1.50066692e-04
    68       4   5.79924231e+00   6.26499099e+00   1.31832486e-07   1.00000000e+00   1.00000000e+00   1.51395967e-04
    68       5   5.80238854e+00   6.26699727e+00   1.32341023e-07   9.99999991e-01   9.99999991e-01   1.51877153e-04
    68       6   1.12785071e-01   2.61512842e-01   1.74989411e-07              inf              inf   3.87773417e-06
    68       7   3.62982690e-02   1.30378420e-02   5.83726889e-08              inf              inf   1.53786121e-06
    68       8   3.87734378e-04   7.14387759e-03   3.35810060e-10              inf              inf   2.15435094e-08
    68       9   6.43457276e-06   1.31772189e-04   2.47354377e-12              inf              inf   5.62734127e-10
    68      10   5.84116146e-07   1.09424314e-05   3.63737826e-12              inf              inf   3.80907020e-11
    68      11   5.16041589e-07   1.15975981e-05   1.08144657e-12              inf              inf   6.04200174e-11
    68      12   3.46402093e-07   7.54547655e-06   3.53856395e-13              inf              inf   4.35711583e-11
    68      13   7.12045288e-07   1.17786363e-05   3.87334741e-11              inf              inf   8.70559731e-11
    68      14   3.23288693e-06   6.86952484e-06   1.12743048e-09              inf              inf   2.66056367e-10
    68      15   3.43444100e-06   7.29778733e-06   1.22417718e-09              inf              inf   3.58748412e-10
    68      16   4.98702702e-06   1.05966292e-05   2.10256438e-09              inf              inf   6.00251666e-10
    68      17   5.39388693e-06   1.14611756e-05   2.01112858e-09              inf              inf   5.08725795e-10
    68      18   4.99185855e-06   1.06069539e-05   1.93039242e-09              inf              inf   4.85679769e-10
    68      19   5.11454802e-06   1.08676860e-05   1.83274059e-09              inf              inf   5.61769851e-10
    68      20   8.20271701e-06   1.74297118e-05   1.72570584e-09              inf              inf   6.44093191e-10
    68      21   9.56370127e-06   2.03217795e-05   1.54341746e-09              inf              inf   5.63203777e-10
    68      22   1.03854308e-05   2.20681071e-05   1.24683582e-09              inf              inf   3.95568012e-10
    68      23   8.37792301e-06   1.78027201e-05   6.59674242e-10              inf              inf   2.12065834e-10
    68      24   6.69763284e-06   1.42324129e-05   2.09862260e-10              inf              inf   1.91024770e-10
    68      25   6.51251185e-06   1.38390546e-05   1.78556029e-10              inf              inf   3.11583085e-10
    69       1   3.20164867e-01   2.11726689e-01   1.07435780e-05              inf              inf   7.07639133e-06
    69       2   1.03478900e-01   2.21287458e-01   1.73720146e-07              inf              inf   3.88543088e-06
    69       3   1.07718707e-01   2.31527139e-01   3.93078646e-07              inf              inf   3.41814649e-06
    69       4   1.10924325e-01   2.38416300e-01   5.39889285e-07              inf              inf   2.29631475e-06
    69       5   1.09677060e-01   2.33264785e-01   5.61032736e-07   1.03960623e+00   1.03960623e+00   2.59420484e-06
    69       6   1.13673736e-01   2.43762882e-01   5.37112016e-07              inf              inf   1.25628981e-07
    69       7   1.15466887e-01   2.48441028e-01   5.39871986e-07              inf              inf   8.39185524e-07
    69       8   1.58679401e-01   2.75997620e-01   6.19370135e-07   1.22712224e+00   1.22712224e+00   7.34781426e-05
    69       9   1.50473419e-01   2.68436883e-01   5.70671917e-07   1.22941433e+00   1.22941433e+00   6.50328256e-05
    69      10   5.31970897e-02   4.51705427e-02   8.58050505e-08              inf              inf   8.99164015e-06
    69      11   7.21216099e-02   1.21153099e-01   6.66775562e-07   1.23095683e+00   1.23095683e+00   9.32334386e-05
    69      12   6.19013753e-02   1.15913850e-01   4.22079826e-07   1.24657534e+00   1.24657534e+00   5.98044612e-05
    69      13   1.19650349e-01   2.07271728e-01   7.38159194e-07   1.19576390e+00   1.19576390e+00   1.77040005e-04
    69      14   2.44241105e-01   4.29522707e-01   5.25663362e-07   1.23344747e+00   1.23344747e+00   8.56175299e-05
    69      15   2.03826020e-01   3.49072242e-01   2.90121321e-07   1.24687712e+00   1.24687712e+00   7.55241010e-05
    69      16   1.50870254e-01   2.28615774e-01   1.41523362e-07   1.22795303e+00   1.22795303e+00   1.63293645e-04
    69      17   1.49972062e-01   2.28274403e-01   1.25765119e-07   1.23123071e+00   1.23123071e+00   1.52038278e-04
    69      18   1.22108227e-01   2.02229891e-01   2.25902636e-08   1.41082750e+00   1.41082750e+00   6.78642729e-05
