  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
   205    1632       2       1      13       1       0
   206    1634       2       1      12       2       0
   207    1636       2       1      12       1       0
   208    1638       2       1      12       1       0
   209    1640       2       1      12       1       0
   210    1642       2       1      12       1       0
   211    1644       2       1      12       1       0
   212    1646       2       1      12       1       0
   213    1648       2       1      11       2       0
   214    1650       2       1      10       2       0
   215    1652       2       1      11       0       0
   216    1654       2       1      11       1       0
   217    1656       2       1      11       1       0
   218    1658       2       1      11       1       0
   219    1660       2       1      11       1       0
   220    1662       2       1      11       1       0
   221    1664       2       1      12       0       0
   222    1666       2       1      12       1       0
   223    1668       2       1      12       1       0
   224    1670       2       1      11       2       0
   225    1672       2       1      11       1       0
   226    1674       2       1      11       1       0
   227    1676       2       1      11       1       0
   228    1678       2       1      11       1       0
   229    1680       2       1      11       1       0
   230    1682       2       1      11       1       0
   231    1684       2       1      11       1       0
   232    1686       2       1      11       1       0
   233    1688       2       1      11       1       0
   234    1690       2       1      11       1       0
   235    1692       2       1      12       0       0
   236    1694       2       1      12       1       0
   237    1696       2       1      12       1       0
   238    1698       2       1      11       2       0
   239    1700       2       1      12       0       0
   240    1702       2       1      11       2       0
   241    1704       2       1      10       2       0
   242    1706       2       1      11       0       0
   243    1708       2       1      11       1       0
   244    1710       2       1      11       1       0
   245    1712       2       1      11       1       0
   246    1714       2       1      11       1       0
   247    1716       2       1      11       1       0
   248    1718       2       1      10       2       0
   249    1720       2       1      10       1       0
   250    1722       2       1      10       1       0
   251    1724       2       1      11       0       0
   252    1726       2       1      10       2       0
   253    1728       2       1      10       1       0
   254    1730       2       1      10       1       0
   255    1732       2       1      11       0       0
   256    1734       2       1      11       1       0
   257    1736       2       1      11       1       0
   258    1738       2       1      12       0       0
   259    1740       2       1      11       2       0
   260    1742       2       1      11       1       0
   261    1744       2       1      11       1       0
   262    1746       2       1      11       1       0
   263    1748       2       1      11       1       0
   264    1750       2       1      11       1       0
   265    1752       2       1      12       0       0
   266    1754       2       1      11       2       0
   267    1756       2       1      12       0       0
   268    1758       2       1      11       2       0
   269    1760       2       1      12       0       0
   270    1762       2       1      12       1       0
   271    1764       2       1      12       1       0
   272    1766       2       1      12       1       0
   273    1768       2       1      11       2       0
   274    1770       2       1      11       1       0
   275    1772       2       1      11       1       0
   276    1774       2       1      11       1       0
   277    1776       2       1      11       1       0
   278    1778       2       1      11       1       0
   279    1780       2       1      11       1       0
   280    1782       2       1      11       1       0
   281    1784       2       1      12       0       0
   282    1786       2       1      12       1       0
   283    1788       2       1      12       1       0
   284    1790       2       1      12       1       0
   285    1792       2       1      11       2       0
   286    1794       2       1      12       0       0
   287    1796       2       1      13       0       0
   288    1798       2       1      13       1       0
   289    1800       2       1      13       1       0
   290    1802       2       1      12       2       0
   291    1804       2       1      12       1       0
   292    1806       2       1      12       1       0
   293    1808       2       1      12       1       0
   294    1810       2       1      12       1       0
   295    1812       2       1      13       0       0
   296    1814       2       1      13       1       0
   297    1816       2       1      13       1       0
