  TimeWindow  TotalIterations  Iterations  Convergence
   330    1882       2       1
   331    1884       2       1
   332    1886       2       1
   333    1888       2       1
   334    1890       2       1
   335    1892       2       1
   336    1894       2       1
   337    1896       2       1
   338    1898       2       1
   339    1900       2       1
   340    1902       2       1
   341    1904       2       1
   342    1906       2       1
   343    1908       2       1
   344    1910       2       1
   345    1912       2       1
   346    1914       2       1
   347    1916       2       1
   348    1918       2       1
   349    1920       2       1
   350    1922       2       1
   351    1924       2       1
   352    1926       2       1
   353    1928       2       1
   354    1930       2       1
   355    1932       2       1
   356    1934       2       1
   357    1936       2       1
   358    1938       2       1
   359    1940       2       1
   360    1942       2       1
   361    1944       2       1
   362    1946       2       1
   363    1948       2       1
   364    1950       2       1
   365    1952       2       1
   366    1954       2       1
   367    1956       2       1
   368    1958       2       1
   369    1960       2       1
   370    1962       2       1
   371    1964       2       1
   372    1966       2       1
   373    1968       2       1
   374    1970       2       1
   375    1972       2       1
   376    1974       2       1
   377    1976       2       1
   378    1978       2       1
   379    1980       2       1
   380    1982       2       1
   381    1984       2       1
   382    1986       2       1
   383    1988       2       1
   384    1990       2       1
   385    1992       2       1
   386    1994       2       1
   387    1996       2       1
   388    1998       2       1
   389    2000       2       1
   390    2002       2       1
   391    2004       2       1
   392    2006       2       1
   393    2008       2       1
   394    2010       2       1
   395    2012       2       1
   396    2014       2       1
   397    2016       2       1
   398    2018       2       1
   399    2020       2       1
   400    2022       2       1
   401    2024       2       1
   402    2026       2       1
   403    2028       2       1
   404    2030       2       1
   405    2032       2       1
   406    2034       2       1
   407    2036       2       1
   408    2038       2       1
   409    2040       2       1
   410    2042       2       1
   411    2044       2       1
   412    2046       2       1
   413    2048       2       1
   414    2050       2       1
   415    2052       2       1
   416    2054       2       1
   417    2056       2       1
   418    2058       2       1
   419    2060       2       1
   420    2062       2       1
   421    2064       2       1
   422    2066       2       1
   423    2068       2       1
   424    2070       2       1
   425    2072       2       1
   426    2074       2       1
   427    2076       2       1
   428    2078       2       1
   429    2080       2       1
   430    2082       2       1
   431    2084       2       1
   432    2086       2       1
   433    2088       2       1
   434    2090       2       1
   435    2092       2       1
   436    2094       2       1
   437    2096       2       1
   438    2098       2       1
   439    2100       2       1
   440    2102       2       1
   441    2104       2       1
   442    2106       2       1
   443    2108       2       1
   444    2110       2       1
   445    2112       2       1
   446    2114       2       1
   447    2116       2       1
   448    2118       2       1
   449    2120       2       1
   450    2122       2       1
   451    2124       2       1
   452    2126       2       1
   453    2128       2       1
   454    2130       2       1
   455    2132       2       1
   456    2134       2       1
   457    2136       2       1
   458    2138       2       1
   459    2140       2       1
   460    2142       2       1
   461    2144       2       1
   462    2146       2       1
   463    2148       2       1
   464    2150       2       1
   465    2153       3       1
   466    2156       3       1
   467    2159       3       1
   468    2161       2       1
   469    2163       2       1
   470    2165       2       1
   471    2167       2       1
   472    2169       2       1
   473    2172       3       1
   474    2175       3       1
   475    2179       4       1
   476    2181       2       1
   477    2184       3       1
   478    2186       2       1
   479    2188       2       1
   480    2190       2       1
   481    2193       3       1
   482    2196       3       1
   483    2199       3       1
   484    2201       2       1
   485    2203       2       1
   486    2205       2       1
   487    2207       2       1
   488    2209       2       1
   489    2211       2       1
   490    2213       2       1
   491    2215       2       1
   492    2217       2       1
   493    2219       2       1
   494    2221       2       1
   495    2223       2       1
   496    2225       2       1
   497    2227       2       1
   498    2229       2       1
   499    2231       2       1
   500    2233       2       1
   501    2235       2       1
   502    2237       2       1
   503    2239       2       1
   504    2241       2       1
   505    2243       2       1
   506    2245       2       1
   507    2247       2       1
   508    2249       2       1
   509    2251       2       1
   510    2253       2       1
   511    2255       2       1
   512    2257       2       1
   513    2259       2       1
   514    2261       2       1
   515    2263       2       1
   516    2265       2       1
   517    2267       2       1
   518    2269       2       1
   519    2271       2       1
   520    2273       2       1
   521    2275       2       1
   522    2277       2       1
   523    2279       2       1
   524    2281       2       1
   525    2283       2       1
   526    2285       2       1
   527    2287       2       1
   528    2289       2       1
   529    2291       2       1
   530    2293       2       1
   531    2295       2       1
   532    2297       2       1
   533    2299       2       1
   534    2301       2       1
   535    2303       2       1
   536    2305       2       1
   537    2307       2       1
   538    2309       2       1
   539    2311       2       1
   540    2313       2       1
   541    2315       2       1
   542    2317       2       1
   543    2319       2       1
   544    2321       2       1
   545    2323       2       1
   546    2325       2       1
   547    2327       2       1
   548    2329       2       1
   549    2331       2       1
   550    2333       2       1
   551    2335       2       1
   552    2337       2       1
   553    2339       2       1
   554    2341       2       1
   555    2343       2       1
   556    2345       2       1
   557    2347       2       1
   558    2349       2       1
   559    2351       2       1
   560    2353       2       1
   561    2355       2       1
   562    2357       2       1
   563    2359       2       1
   564    2361       2       1
   565    2363       2       1
   566    2365       2       1
   567    2367       2       1
   568    2369       2       1
   569    2371       2       1
   570    2373       2       1
   571    2375       2       1
   572    2377       2       1
   573    2379       2       1
   574    2381       2       1
   575    2383       2       1
   576    2385       2       1
   577    2387       2       1
   578    2389       2       1
   579    2391       2       1
   580    2393       2       1
   581    2395       2       1
   582    2397       2       1
   583    2399       2       1
   584    2401       2       1
   585    2403       2       1
   586    2405       2       1
   587    2407       2       1
   588    2409       2       1
   589    2411       2       1
   590    2413       2       1
   591    2415       2       1
   592    2417       2       1
   593    2419       2       1
   594    2421       2       1
   595    2423       2       1
   596    2425       2       1
   597    2427       2       1
   598    2429       2       1
   599    2431       2       1
   600    2433       2       1
   601    2435       2       1
   602    2437       2       1
   603    2439       2       1
   604    2441       2       1
   605    2443       2       1
   606    2445       2       1
   607    2447       2       1
   608    2449       2       1
   609    2451       2       1
   610    2453       2       1
   611    2455       2       1
   612    2457       2       1
   613    2459       2       1
   614    2461       2       1
   615    2463       2       1
   616    2465       2       1
   617    2467       2       1
   618    2469       2       1
   619    2471       2       1
   620    2473       2       1
   621    2475       2       1
   622    2477       2       1
   623    2479       2       1
   624    2481       2       1
   625    2483       2       1
   626    2485       2       1
   627    2487       2       1
   628    2489       2       1
   629    2491       2       1
   630    2493       2       1
   631    2495       2       1
   632    2497       2       1
   633    2499       2       1
   634    2501       2       1
   635    2503       2       1
   636    2505       2       1
   637    2507       2       1
   638    2509       2       1
   639    2511       2       1
   640    2513       2       1
   641    2515       2       1
   642    2517       2       1
   643    2519       2       1
   644    2521       2       1
   645    2523       2       1
   646    2525       2       1
   647    2527       2       1
   648    2529       2       1
   649    2531       2       1
   650    2533       2       1
   651    2535       2       1
   652    2537       2       1
   653    2539       2       1
   654    2541       2       1
   655    2543       2       1
   656    2545       2       1
   657    2547       2       1
   658    2549       2       1
   659    2551       2       1
   660    2553       2       1
   661    2555       2       1
   662    2557       2       1
   663    2559       2       1
   664    2561       2       1
   665    2563       2       1
   666    2565       2       1
   667    2567       2       1
   668    2569       2       1
   669    2571       2       1
   670    2573       2       1
   671    2575       2       1
   672    2577       2       1
   673    2579       2       1
   674    2581       2       1
   675    2583       2       1
   676    2585       2       1
   677    2587       2       1
   678    2589       2       1
   679    2591       2       1
   680    2593       2       1
   681    2595       2       1
   682    2597       2       1
   683    2599       2       1
   684    2601       2       1
   685    2603       2       1
   686    2605       2       1
   687    2607       2       1
   688    2609       2       1
   689    2611       2       1
   690    2613       2       1
   691    2615       2       1
   692    2617       2       1
   693    2619       2       1
   694    2621       2       1
   695    2623       2       1
   696    2625       2       1
   697    2627       2       1
   698    2629       2       1
   699    2631       2       1
   700    2633       2       1
   701    2635       2       1
   702    2637       2       1
   703    2639       2       1
   704    2641       2       1
   705    2643       2       1
   706    2645       2       1
   707    2648       3       1
   708    2650       2       1
   709    2652       2       1
   710    2655       3       1
   711    2657       2       1
   712    2659       2       1
   713    2661       2       1
   714    2663       2       1
   715    2666       3       1
   716    2669       3       1
   717    2671       2       1
   718    2674       3       1
   719    2677       3       1
   720    2679       2       1
   721    2681       2       1
   722    2683       2       1
   723    2685       2       1
   724    2687       2       1
   725    2689       2       1
   726    2691       2       1
   727    2693       2       1
   728    2695       2       1
   729    2697       2       1
   730    2699       2       1
   731    2701       2       1
   732    2703       2       1
   733    2705       2       1
   734    2707       2       1
   735    2709       2       1
   736    2711       2       1
   737    2713       2       1
   738    2715       2       1
   739    2717       2       1
   740    2719       2       1
   741    2721       2       1
   742    2723       2       1
   743    2725       2       1
   744    2727       2       1
   745    2729       2       1
   746    2731       2       1
   747    2733       2       1
   748    2735       2       1
   749    2737       2       1
   750    2739       2       1
   751    2741       2       1
   752    2743       2       1
   753    2745       2       1
   754    2747       2       1
   755    2749       2       1
   756    2751       2       1
   757    2753       2       1
   758    2755       2       1
   759    2757       2       1
   760    2759       2       1
   761    2761       2       1
   762    2763       2       1
   763    2765       2       1
   764    2767       2       1
   765    2769       2       1
   766    2771       2       1
   767    2773       2       1
   768    2775       2       1
   769    2777       2       1
   770    2779       2       1
   771    2781       2       1
   772    2783       2       1
   773    2785       2       1
   774    2787       2       1
   775    2789       2       1
   776    2791       2       1
   777    2793       2       1
   778    2795       2       1
   779    2797       2       1
   780    2799       2       1
   781    2801       2       1
   782    2803       2       1
   783    2805       2       1
   784    2807       2       1
   785    2809       2       1
   786    2811       2       1
   787    2813       2       1
   788    2815       2       1
   789    2817       2       1
   790    2819       2       1
   791    2821       2       1
   792    2823       2       1
   793    2825       2       1
   794    2827       2       1
   795    2829       2       1
   796    2831       2       1
   797    2833       2       1
   798    2835       2       1
   799    2837       2       1
   800    2839       2       1
   801    2841       2       1
   802    2843       2       1
   803    2845       2       1
   804    2847       2       1
   805    2849       2       1
   806    2851       2       1
   807    2853       2       1
   808    2855       2       1
   809    2857       2       1
   810    2859       2       1
   811    2861       2       1
   812    2863       2       1
   813    2865       2       1
   814    2867       2       1
   815    2869       2       1
   816    2871       2       1
   817    2873       2       1
   818    2875       2       1
   819    2877       2       1
   820    2879       2       1
   821    2881       2       1
   822    2883       2       1
   823    2885       2       1
   824    2887       2       1
   825    2889       2       1
   826    2891       2       1
   827    2893       2       1
   828    2895       2       1
   829    2897       2       1
   830    2899       2       1
   831    2901       2       1
   832    2903       2       1
   833    2905       2       1
   834    2907       2       1
   835    2909       2       1
   836    2911       2       1
   837    2913       2       1
   838    2915       2       1
   839    2917       2       1
   840    2919       2       1
   841    2921       2       1
   842    2923       2       1
   843    2925       2       1
   844    2927       2       1
   845    2929       2       1
   846    2931       2       1
   847    2933       2       1
   848    2935       2       1
   849    2937       2       1
   850    2939       2       1
   851    2941       2       1
   852    2943       2       1
   853    2945       2       1
   854    2947       2       1
   855    2949       2       1
   856    2951       2       1
   857    2953       2       1
   858    2955       2       1
   859    2957       2       1
   860    2959       2       1
   861    2961       2       1
   862    2963       2       1
   863    2965       2       1
